id,gender,birthday,region,last_visited
1,М,2007-07-15 18:53:02,Город Москва,2023-09-20 18:00:34.464576
2,Ж,2007-06-16 11:48:48,Краснодарский край,2023-10-04 16:01:11.464583
3,М,2010-08-09 14:11:20,Город Санкт-Петербург,2023-09-27 17:14:43.464586
4,М,2008-07-03 10:50:41,Город Санкт-Петербург,2023-09-27 13:46:11.464589
5,М,2010-02-15 23:03:02,Краснодарский край,2023-10-12 10:16:43.464591
6,Ж,2010-08-04 09:22:40,Город Санкт-Петербург,2023-10-13 12:14:47.464594
7,М,2007-09-15 23:05:50,Город Москва,2023-10-01 18:16:02.464596
8,Ж,2009-12-11 00:38:52,Город Санкт-Петербург,2023-10-02 05:27:43.464599
9,М,2007-10-13 17:36:35,Город Санкт-Петербург,2023-10-03 09:25:51.464601
10,Ж,2009-06-17 05:58:50,Город Москва,2023-09-21 19:04:31.464604
11,Ж,2010-10-13 05:06:37,Город Москва,2023-10-08 19:41:16.464606
12,Ж,2006-12-31 13:42:19,Город Москва,2023-10-06 02:23:12.464609
13,М,2007-07-06 07:10:36,Город Москва,2023-10-02 16:13:53.464611
14,Ж,2009-11-17 19:00:24,Новосибирская область,2023-10-07 10:44:41.464614
15,Ж,2009-11-19 17:49:50,Город Москва,2023-09-27 09:13:41.464616
16,Ж,2010-01-31 05:13:05,Город Санкт-Петербург,2023-09-27 09:54:35.464619
17,Ж,2008-03-03 05:03:44,Город Москва,2023-10-11 09:56:12.464621
18,Ж,2007-01-03 08:44:33,Город Санкт-Петербург,2023-10-08 08:58:38.464624
19,Ж,2010-10-01 16:47:46,Город Москва,2023-09-20 09:56:16.464626
20,М,2008-05-29 17:42:55,Город Москва,2023-09-17 23:45:20.464628
21,М,2010-06-07 14:17:40,Нижегородская область,2023-10-03 04:11:00.464631
22,Ж,2009-11-18 02:51:19,Город Санкт-Петербург,2023-09-30 06:23:50.464633
23,Ж,2007-06-01 02:05:48,Краснодарский край,2023-09-18 09:17:58.464636
24,М,2010-08-11 16:19:18,Город Москва,2023-09-25 01:42:49.464638
25,Ж,2009-01-04 23:30:56,Новосибирская область,2023-09-20 09:51:37.464640
26,Ж,2009-07-14 06:46:07,Город Санкт-Петербург,2023-10-15 08:35:31.464643
27,Ж,2010-08-26 20:29:01,Город Санкт-Петербург,2023-09-25 15:21:44.464646
28,М,2006-12-12 04:13:58,Город Москва,2023-10-14 04:08:09.464648
29,М,2006-11-01 11:32:10,Город Москва,2023-09-28 01:34:22.464651
30,Ж,2007-01-03 20:41:11,Город Москва,2023-10-15 14:34:34.464653
31,Ж,2007-05-22 06:16:04,Город Москва,2023-10-02 16:06:48.464656
32,Ж,2006-10-27 20:42:51,Город Санкт-Петербург,2023-10-07 01:28:54.464658
33,Ж,2007-05-08 20:29:05,Нижегородская область,2023-09-30 12:40:06.464660
34,М,2008-05-12 04:06:30,Город Москва,2023-10-04 09:09:12.464663
35,Ж,2009-08-02 16:10:21,Краснодарский край,2023-09-21 13:48:18.464665
36,Ж,2009-02-23 12:49:25,Новосибирская область,2023-09-19 11:06:58.464668
37,Ж,2008-07-21 20:40:11,Город Москва,2023-09-18 20:48:59.464670
38,Ж,2008-12-29 03:19:30,Город Москва,2023-10-01 09:53:10.464673
39,Ж,2007-07-04 19:50:23,Город Санкт-Петербург,2023-10-08 03:54:54.464675
40,Ж,2007-10-08 21:39:16,Город Санкт-Петербург,2023-09-28 21:40:43.464678
41,Ж,2009-04-06 07:33:23,Краснодарский край,2023-09-19 21:46:11.464680
42,М,2007-04-13 17:05:14,Краснодарский край,2023-10-11 17:20:49.464683
43,Ж,2007-06-03 15:27:56,Новосибирская область,2023-09-28 08:51:17.464685
44,М,2008-02-08 08:00:20,Город Санкт-Петербург,2023-09-30 03:01:23.464687
45,Ж,2007-10-04 06:25:20,Город Москва,2023-10-06 10:35:43.464690
46,Ж,2010-06-19 16:11:02,Город Санкт-Петербург,2023-10-04 06:47:51.464692
47,М,2008-04-08 17:07:54,Новосибирская область,2023-10-11 03:31:18.464695
48,Ж,2009-05-14 09:20:49,Новосибирская область,2023-10-02 09:00:01.464697
49,Ж,2008-05-21 22:10:19,Город Москва,2023-10-02 18:15:24.464700
50,Ж,2007-11-25 22:55:38,Краснодарский край,2023-09-23 20:37:01.464702
51,М,2008-01-20 12:40:57,Город Санкт-Петербург,2023-10-01 06:35:00.464705
52,М,2007-01-06 08:32:11,Город Москва,2023-09-25 02:22:50.464708
53,М,2007-10-23 09:50:15,Город Санкт-Петербург,2023-10-03 10:29:04.464710
54,Ж,2007-12-07 05:38:06,Город Москва,2023-10-09 19:22:54.464713
55,Ж,2007-01-13 14:27:38,Город Москва,2023-10-15 14:34:47.464715
56,Ж,2007-01-07 05:09:54,Город Санкт-Петербург,2023-10-05 21:10:36.464717
57,Ж,2009-08-25 02:21:35,Краснодарский край,2023-09-21 16:20:59.464720
58,М,2008-03-02 14:34:37,Город Санкт-Петербург,2023-10-07 13:23:14.464722
59,М,2010-03-25 13:43:24,Город Москва,2023-09-24 18:22:29.464725
60,Ж,2008-11-10 14:09:39,Новосибирская область,2023-09-19 20:41:50.464727
61,Ж,2009-04-03 01:56:11,Новосибирская область,2023-09-27 16:25:49.464729
62,М,2007-04-22 05:30:46,Город Санкт-Петербург,2023-10-05 15:37:23.464732
63,Ж,2010-09-11 17:49:27,Краснодарский край,2023-09-20 12:10:05.464734
64,М,2007-10-05 00:43:40,Город Москва,2023-09-27 19:45:45.464736
65,М,2008-06-19 07:50:34,Город Москва,2023-10-08 01:02:21.464739
66,Ж,2009-06-22 16:04:35,Краснодарский край,2023-10-11 18:30:34.464741
