session_id,user_id,date,time_watched
1,558,2023-01-23 00:52:14,10
2,435,2023-01-06 20:59:45,51
3,783,2023-01-27 19:24:25,2
4,575,2023-01-23 21:55:54,29
5,598,2023-01-22 15:06:09,5
6,210,2023-01-01 01:39:38,26
7,849,2023-01-08 23:15:25,6
8,735,2023-01-28 21:58:22,32
9,209,2023-01-12 11:21:15,12
10,496,2023-01-17 08:29:38,36
11,463,2023-01-22 22:08:10,76
12,543,2023-01-07 12:38:49,26
13,522,2023-01-17 21:13:08,66
14,935,2023-01-04 04:30:19,31
15,646,2023-01-02 19:35:58,2
16,832,2023-01-31 20:22:06,57
17,643,2023-01-31 15:24:34,20
18,547,2023-01-06 16:29:30,34
19,981,2023-01-31 11:45:07,27
20,400,2023-01-28 16:13:25,17
21,391,2023-01-03 19:47:30,33
22,374,2023-01-15 04:13:22,60
23,506,2023-01-11 18:11:06,20
24,272,2023-01-14 01:25:59,53
25,126,2023-01-06 17:43:07,28
26,85,2023-01-16 13:52:10,4
27,894,2023-01-16 00:56:58,32
28,62,2023-01-18 10:03:59,65
29,644,2023-01-21 01:24:28,1
30,101,2023-01-04 08:19:14,23
31,73,2023-01-14 12:43:12,9
32,224,2023-01-22 12:40:34,18
33,151,2023-01-14 13:06:33,41
34,538,2023-01-27 15:45:40,39
35,245,2023-01-14 18:03:47,4
36,212,2023-01-26 18:20:09,16
37,154,2023-01-04 21:02:04,42
38,617,2023-01-24 17:34:35,52
39,730,2023-01-26 01:31:03,22
40,971,2023-01-04 13:12:23,39
41,962,2023-01-28 04:24:59,28
42,979,2023-01-06 18:39:50,16
43,451,2023-01-22 00:09:55,41
44,445,2023-01-14 14:04:24,24
45,992,2023-01-10 01:55:32,68
46,520,2023-01-31 03:50:57,26
47,151,2023-01-15 17:44:50,52
48,280,2023-01-15 21:19:06,44
49,980,2023-01-16 01:16:32,32
50,151,2023-01-01 12:12:56,22
51,935,2023-01-08 23:34:04,3
52,590,2023-01-03 10:53:51,28
53,720,2023-01-21 01:04:56,47
54,670,2023-01-24 03:58:51,34
55,749,2023-01-25 22:35:46,29
56,341,2023-01-15 16:55:21,58
57,61,2023-01-21 16:57:04,62
58,244,2023-01-12 00:49:55,4
59,994,2023-01-16 17:48:54,38
60,849,2023-01-03 10:04:12,56
61,454,2023-01-03 13:15:25,8
62,401,2023-01-09 17:06:22,11
63,550,2023-01-24 12:01:49,25
64,641,2023-01-08 04:37:27,28
