user_id,age,avg_session_time,avg_tries_cnt,avg_progress
9993,15,26.37,2.79,89.51
2584,15,15.79,2.06,4.85
8145,16,2.67,3.23,56.36
3498,19,43.01,4.03,11.25
8172,12,11.01,2.53,44.94
687,16,19.58,11.58,8.39
9356,13,15.53,2.85,85.82
9587,13,21.79,4.48,88.48
1863,17,2.34,4.56,0.81
5951,17,6.0,1.32,19.77
810,20,0.04,3.65,7.94
1829,16,3.58,5.45,5.24
3340,14,61.08,4.02,44.32
761,12,12.92,0.56,6.68
2582,16,3.67,3.13,9.23
6532,14,16.71,4.13,21.43
1157,21,11.05,2.16,4.72
8257,18,3.21,8.32,50.19
3293,18,27.81,3.55,30.64
4014,13,12.1,3.38,73.71
4226,16,16.01,1.63,32.68
3715,10,12.6,2.61,45.87
7293,15,16.69,2.02,68.38
4251,19,28.32,3.11,62.65
7267,14,21.75,4.43,53.76
644,12,10.06,2.58,1.34
10876,33,2.19,2.96,91.86
9406,16,3.58,2.84,82.43
581,18,9.69,1.54,8.99
233,17,9.93,0.58,5.3
11680,28,22.89,2.28,99.39
11162,30,13.65,3.9,97.55
5962,14,7.0,1.79,77.87
4936,15,36.29,3.96,58.17
700,12,11.89,4.27,7.76
4526,15,6.34,2.63,79.05
8759,11,5.57,0.37,51.64
7776,17,73.67,0.71,54.56
4468,20,11.13,5.59,72.58
8680,18,12.53,5.27,51.65
3662,18,20.58,0.46,18.3
8434,17,2.71,10.35,65.11
7333,18,5.3,1.2,13.52
9816,20,23.9,7.98,80.32
4118,15,10.13,5.26,69.13
5014,14,9.57,2.38,25.47
2892,19,19.38,9.93,0.23
1422,16,7.44,1.69,5.55
7967,12,11.88,7.99,48.06
4108,15,2.07,4.24,18.11
5034,10,8.21,1.11,62.37
3411,12,12.82,3.55,10.76
7949,18,18.12,3.47,52.18
8678,16,12.34,6.28,74.07
10717,33,25.15,10.15,90.67
7219,17,48.88,4.09,79.18
8939,18,11.37,2.34,33.76
9603,16,7.71,5.2,81.94
3971,16,12.75,2.95,63.83
9247,17,17.6,0.52,89.24
783,15,5.06,2.17,9.07
4901,11,0.58,1.15,75.93
11467,44,2.4,1.98,98.02
4985,13,0.07,3.68,71.99
8739,17,25.69,0.95,12.66
4262,10,18.19,3.8,41.32
1689,17,12.06,6.2,1.67
7258,13,3.96,4.33,51.39
343,18,23.43,0.96,6.47
8431,15,11.5,6.31,75.05
8881,15,20.95,2.87,44.58
6355,18,1.19,0.3,58.71
9984,9,17.04,5.03,81.06
4729,13,85.47,4.27,70.65
9750,13,8.36,2.67,88.0
4714,16,40.55,1.52,72.69
9064,16,7.57,4.6,80.64
3273,17,9.1,0.81,76.33
222,15,6.11,1.95,9.72
1181,16,52.46,4.03,3.76
4615,14,30.1,3.93,24.32
8711,14,6.16,1.29,31.41
1154,20,0.27,11.24,0.35
2371,19,2.39,5.26,6.24
4472,15,74.62,0.33,29.19
10102,40,3.36,0.44,90.91
10352,27,2.39,3.5,98.72
940,16,12.69,0.57,0.98
1513,18,0.51,6.75,4.52
5210,12,1.7,2.58,49.88
5209,17,2.12,3.34,20.38
10735,38,22.48,7.03,90.75
479,16,10.16,6.68,2.04
5189,16,24.98,1.92,43.25
6991,16,19.19,2.41,60.56
10365,27,3.24,3.29,94.3
361,17,24.79,6.82,9.45
7149,14,22.23,6.56,77.51
3787,21,4.65,4.4,24.58
5562,16,1.26,4.47,38.08
10705,32,9.09,1.4,94.92
1984,16,5.25,2.99,2.49
7251,16,21.92,4.81,37.56
4616,18,19.75,5.99,36.99
2630,10,9.32,0.59,5.06
1683,13,5.77,7.59,1.5
1651,11,18.03,4.01,4.81
9509,12,13.04,5.58,81.12
7286,14,3.04,2.62,46.14
5538,17,5.19,5.09,44.36
2500,21,6.92,3.14,3.86
1814,16,14.16,15.64,3.69
10504,35,2.55,1.72,93.56
8537,19,3.33,1.7,29.7
6588,20,2.88,2.05,65.51
1839,15,14.8,0.89,5.49
10560,37,1.69,0.27,91.05
1118,17,26.2,4.51,9.58
10965,32,44.61,1.83,99.13
6660,11,2.68,1.61,35.47
8859,16,14.99,7.71,17.07
5008,10,1.58,2.65,48.49
6774,17,31.45,2.24,16.66
4915,18,3.96,1.47,12.36
11298,45,12.6,1.78,94.5
5934,16,40.28,5.94,13.2
7384,19,47.24,2.11,40.01
3082,14,3.01,3.07,39.14
6915,16,12.78,0.21,53.6
2760,8,6.78,0.31,5.31
8889,13,28.5,5.13,27.68
7433,19,2.91,5.3,39.1
5836,14,39.2,3.99,75.86
6102,12,4.11,2.49,48.38
1695,18,5.96,0.87,0.6
8837,18,9.69,2.53,61.03
2159,19,7.54,0.95,1.89
1176,15,12.73,2.5,9.17
7426,16,1.43,3.72,40.75
8845,17,0.15,0.47,40.46
4946,16,1.07,4.77,10.39
10158,31,0.71,1.83,99.28
4419,12,23.86,2.59,34.47
9371,16,35.98,3.69,84.99
11883,34,3.66,4.52,97.6
759,20,56.17,1.3,1.44
5670,13,21.7,7.86,13.52
7389,16,24.95,6.57,46.04
10218,33,6.89,1.57,92.61
6900,15,10.85,8.26,51.08
11916,38,8.24,114.5,98.31
7352,16,17.31,5.45,73.39
6489,20,15.13,6.83,58.43
4157,18,4.31,1.79,22.63
1567,14,11.24,7.23,6.9
4271,13,21.32,5.77,28.59
3542,14,28.82,5.58,46.93
6135,17,22.55,5.37,10.52
7854,17,8.12,3.75,50.74
6066,16,8.27,0.1,48.06
6070,17,6.35,3.54,64.56
6140,16,3.16,4.15,45.98
4470,19,9.07,6.38,14.88
9207,17,12.98,0.88,87.55
7127,18,3.71,2.53,63.98
10673,40,0.9,6.67,99.78
2236,16,65.68,3.75,9.45
6906,18,18.24,1.86,68.64
10057,40,2.29,3.36,93.39
10928,36,13.37,3.19,99.17
4780,12,17.37,2.07,20.08
2676,14,3.17,3.58,7.1
1386,14,10.48,4.22,1.17
866,14,5.56,1.24,3.7
2232,13,14.99,4.57,9.73
10596,31,16.44,7.19,98.34
8425,12,47.49,6.69,21.86
5684,14,18.71,1.04,25.75
4797,14,25.35,1.84,47.49
2341,18,8.6,1.21,1.65
3117,12,46.14,2.3,71.57
4958,13,4.3,1.72,46.04
7782,15,2.65,9.94,56.64
8124,11,18.01,3.46,49.08
906,10,2.12,4.38,9.01
2127,15,1.09,1.08,4.56
5371,14,6.66,3.2,27.34
10697,39,2.59,1.65,98.69
7056,18,3.84,1.69,17.56
212,19,55.09,1.67,0.19
7210,26,7.4,1.04,30.81
11228,33,20.09,1.41,94.47
7206,16,2.37,4.45,40.33
141,16,9.99,4.21,9.21
8401,11,11.12,1.95,68.99
4181,16,5.76,8.29,52.39
3228,18,23.4,6.62,49.52
2133,16,9.7,5.48,4.77
11229,34,19.15,0.79,96.71
6960,20,3.24,6.74,44.79
8049,18,43.53,0.26,41.7
9873,11,28.63,5.96,85.49
5968,15,16.93,4.43,68.11
10783,29,35.9,0.7,94.08
8175,15,4.67,2.31,18.8
10634,38,1.1,4.07,99.6
3668,16,17.43,5.56,18.06
4110,14,8.32,1.09,44.29
8970,15,40.44,7.23,48.38
10011,32,2.14,5.6,97.33
6507,20,13.96,4.9,61.64
9414,14,2.74,4.97,86.99
139,17,28.45,3.31,0.07
745,22,1.56,0.57,3.46
2955,16,21.62,2.71,7.66
2284,18,26.23,5.7,4.03
5687,15,65.9,5.25,34.08
4773,14,12.98,1.13,13.17
2739,14,0.45,7.68,9.09
5869,18,5.21,3.95,68.39
6006,11,1.28,5.16,77.22
12000,41,3.32,1000.0,99.79
4692,19,1.18,4.39,35.4
3025,12,18.53,5.71,76.9
9918,16,19.2,4.87,88.22
4639,14,10.98,3.52,49.49
11151,39,4.25,0.53,97.21
1246,11,13.51,3.78,6.23
37,14,14.31,5.01,1.47
11953,35,30.68,321.59,97.58
6024,18,13.15,4.66,69.06
7701,18,25.11,3.14,66.16
4623,14,11.74,6.66,20.73
5079,16,10.09,6.73,10.22
10792,32,1.84,10.81,97.14
7958,19,15.23,0.99,42.85
3087,13,0.53,12.68,62.11
10765,34,21.41,6.4,93.09
2444,17,8.36,2.46,4.78
10068,36,0.94,5.87,95.91
11940,32,29.73,736.35,92.23
1410,14,0.97,11.42,6.86
4194,16,27.14,3.13,75.85
7938,16,2.2,3.34,67.57
5763,11,2.7,1.96,72.17
8189,19,6.37,5.43,43.53
3473,20,13.36,0.13,31.19
2771,24,40.44,3.17,9.35
